DataFormatada,Ta (max)(ºC),Ta (med)(ºC),Ta (min)(ºC)
2004/05/16,32.29,25.71,20.48
2004/05/17,31.62,24.78,20.28
2004/05/18,30.08,24.35,19.61
2004/05/19,31.69,24.7,18.8
2004/05/20,31.16,25,19.88
2004/05/21,31.29,25.07,19.88
2004/05/22,31.16,25.1,21.16
2004/05/23,31.43,24.61,17.8
2004/05/24,30.08,23.66,19.48
2004/05/25,29.95,24.45,20.48
2004/05/26,30.68,23.94,15.99
2004/05/27,32.56,25.01,17.13
2004/05/28,33.09,28.31,24.1
2004/05/29,32.16,25.35,21.29
2004/05/30,29.21,23.98,18.27
2004/05/31,31.22,24.36,17.53
2004/06/01,31.49,24.18,17.8
2004/06/02,31.02,24.95,20.08
2004/06/03,30.89,23.9,19.95
2004/06/04,32.42,24.76,18.47
2004/06/05,33.3,25.5,17.2
2004/06/06,32.76,26.07,21.56
2004/06/07,31.82,25.5,19.88
2004/06/08,32.96,25.25,19.27
2004/06/09,32.09,24.33,16.93
2004/06/10,31.76,24.92,20.42
2004/06/11,30.95,23.94,18.27
2004/06/12,31.48,23.87,17.53
2004/06/13,31.35,23.26,14.45
2004/06/14,31.88,24.95,18.53
2004/06/15,31.21,25.01,19.14
2004/06/16,30.74,25.66,20.95
2004/06/17,28.4,26.38,23.5
2004/06/18,31.62,25.15,18.33
2004/06/19,29.67,24.49,20.82
2004/06/20,31.68,25.12,19.34
2004/06/21,28.74,23.12,16.12
2004/06/22,31.62,23.77,18.06
2004/06/23,31.35,23.8,15.99
2004/06/24,31.15,24.41,18.67
2004/06/25,32.09,24.98,19.34
2004/06/26,29.95,24.44,19.95
2004/06/27,29,23.71,19.74
2004/06/28,29.74,23.89,19.14
2004/06/29,31.68,24.98,18.94
2004/06/30,29.41,23.26,20.35
2004/07/01,29.74,23.12,19.61
2004/07/02,32.69,24.73,18.53
2004/07/03,30.21,24.23,17.73
2004/07/04,28.27,24,20.62
2004/07/05,30.27,24.26,20.75
2004/07/06,30.54,24.64,20.95
2004/07/07,32.09,24.78,19.01
2004/07/08,32.15,25.36,19.27
2004/07/09,33.5,26,19.68
